# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:42:26 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
57D14	57D17	8.29e-01	0.55	msp_0157,msp_0174,msp_0241,msp_0341,msp_1543,msp_0030,msp_2555,msp_2680
59D37	59D43	8.18e-01	0.53	msp_0157,msp_0174,msp_0241,msp_0341,msp_1418c,msp_1432,msp_1754,msp_0030
59D37_dup	59D38	7.03e-01	0.57	msp_0005,msp_0140,msp_0157,msp_0174,msp_0209,msp_0241,msp_0341,msp_1432,msp_1754,msp_1766,msp_0030,msp_0313,msp_2680,msp_2945
57D48	57D51	6.61e-01	0.5	msp_0148c,msp_0347,msp_0497,msp_0884,msp_0166,msp_0313,msp_0380,msp_2617,msp_2943,msp_2949
57D19	57D51	6.41e-01	0.64	msp_0148c,msp_0157,msp_0174,msp_0241,msp_0341,msp_0030,msp_2555,msp_2680
59D37_dup	59D37	6.14e-01	0.86	msp_0140,msp_0157,msp_0174,msp_0209,msp_0241,msp_0341,msp_1418c,msp_1432,msp_1543,msp_1554c,msp_1754,msp_1766,msp_0030,msp_0313,msp_2327,msp_2555,msp_2680,msp_2844,msp_2887,msp_2888,msp_2916
57D14	57D19	6.05e-01	0.74	msp_0157,msp_0174,msp_0241,msp_0341,msp_0030,msp_2555,msp_2680
57D51	57D48	5.79e-01	0.9	msp_0157,msp_0174,msp_0241,msp_0341,msp_1046,msp_0030,msp_2555
57D17	57D72	5.73e-01	0.75	msp_0157,msp_0174,msp_0241,msp_0341,msp_0884,msp_0030,msp_2555,msp_2680
57D14	57D61	5.31e-01	0.65	msp_0140,msp_0157,msp_0174,msp_0241,msp_0341,msp_0030,msp_2555,msp_2680
39D55_dup	39D55	5.21e-01	0.94	msp_0005,msp_0007,msp_0016,msp_0023,msp_0041,msp_0046,msp_0108,msp_0134,msp_0157,msp_0209,msp_0341,msp_0388,msp_0419,msp_0497,msp_0627,msp_0792,msp_1219,msp_0030,msp_0166,msp_2555,msp_2943
57D14	57D20	5.04e-01	0.54	msp_0157,msp_0174,msp_0241,msp_0341,msp_0030,msp_2555
59D43	59D44	4.94e-01	0.76	msp_0140,msp_0157,msp_0174,msp_0341,msp_0626,msp_0633,msp_0754c,msp_1432,msp_1754,msp_1816,msp_0030,msp_2555,msp_2680,msp_2844
57D14	57D72	4.90e-01	0.51	msp_0157,msp_0174,msp_0241,msp_0341,msp_1543,msp_0030,msp_2555,msp_2680,msp_2887,msp_2888
57D17	57D51	4.81e-01	0.65	msp_0157,msp_0174,msp_0241,msp_0341,msp_0030,msp_2555,msp_2680,msp_2945
57D20	57D48	4.73e-01	0.56	msp_0157,msp_0174,msp_0241,msp_0341,msp_0884,msp_0030,msp_2555
57D14	57D51	4.24e-01	0.66	msp_0157,msp_0174,msp_0241,msp_0341,msp_0030,msp_2555,msp_2680
57M	57D8	2.27e-01	1.0	msp_0005,msp_0007,msp_0011,msp_0012,msp_0018,msp_0027,msp_0029,msp_0044,msp_0046,msp_0050,msp_0052,msp_0056,msp_0058,msp_0066,msp_0068,msp_0076,msp_0086,msp_0103,msp_0107,msp_0109,msp_0110,msp_0111,msp_0112,msp_0119,msp_0126,msp_0129,msp_0134,msp_0152,msp_0160,msp_0172,msp_0182,msp_0186,msp_0193,msp_0208,msp_0213,msp_0232,msp_0250,msp_0254,msp_0259,msp_0263,msp_0281,msp_0309,msp_0315,msp_0331,msp_0360,msp_0402,msp_0436,msp_0468,msp_0474,msp_0478,msp_0506,msp_0510,msp_0573,msp_0625,msp_0690,msp_0693,msp_0791,msp_0878,msp_0946,msp_0977,msp_1076,msp_1149,msp_1173c,msp_1177,msp_1279,msp_1388
57D122	41D87	3.36e-02	0.87	msp_0009,msp_0010,msp_0012,msp_0025,msp_0046,msp_0052,msp_0058,msp_0086,msp_0103,msp_0126,msp_0148c,msp_0153,msp_0245,msp_0309,msp_0742,msp_1325,msp_1365,msp_1682c,msp_0166,msp_2373
41D366	41D124	2.82e-02	0.97	msp_0027,msp_0058,msp_0068,msp_0103,msp_0111,msp_0126,msp_0129,msp_0147,msp_0153,msp_0154,msp_0172,msp_0204,msp_0213,msp_0246,msp_0307,msp_0389,msp_0545,msp_0633,msp_0770,msp_0166,msp_0313
39D121	39D61	2.46e-02	1.0	msp_0058,msp_0072,msp_0111,msp_0138,msp_0145,msp_0171,msp_0186,msp_0200,msp_0213,msp_0221,msp_0246,msp_0263,msp_0268,msp_0419,msp_0469c,msp_0522,msp_0621,msp_0627,msp_0648,msp_0852,msp_0999,msp_1012,msp_1244,msp_1336,msp_1624,msp_1977,msp_0166,msp_1810
57D8	57D39	9.52e-03	0.53	msp_0007,msp_0012,msp_0029,msp_0046,msp_0069,msp_0076,msp_0250,msp_0474,msp_0690
47M	47D33	7.73e-03	1.0	msp_0003,msp_0011,msp_0017,msp_0028,msp_0029,msp_0035,msp_0039,msp_0045,msp_0046,msp_0053,msp_0059,msp_0068,msp_0069,msp_0072,msp_0076,msp_0087,msp_0089,msp_0090,msp_0093,msp_0126,msp_0152,msp_0154,msp_0183,msp_0196,msp_0205,msp_0208,msp_0225,msp_0285,msp_0286,msp_0346,msp_0375,msp_0389,msp_0419,msp_0554,msp_0615,msp_0623,msp_0639,msp_0642
59D256	59D11	4.27e-03	0.68	msp_0015,msp_0017,msp_0023,msp_0069,msp_0076,msp_0141,msp_0145,msp_0152,msp_0388,msp_0407,msp_0569
39D362	40D8	3.11e-03	0.91	msp_0016,msp_0023,msp_0041,msp_0052,msp_0058,msp_0134,msp_0154,msp_0213,msp_0280,msp_0340,msp_0342,msp_0388,msp_0627
40D365	40D38	2.73e-03	1.0	msp_0010,msp_0025,msp_0029,msp_0035,msp_0046,msp_0069,msp_0075,msp_0076,msp_0130,msp_0172,msp_0213,msp_0245,msp_0419,msp_0591,msp_0770,msp_1703
