sample_id	plate	well
40D89	P3	A01
58D36	P3	A02
58D382	P3	A03
60D43	P3	A04
63D17	P3	A05
63D368	P3	A06
69M	P3	A07
69D51	P3	A08
72D11	P3	A09
72D63	P3	A10
79D127	P3	A11
82D243	P3	A12
40M	P3	B01
58D43	P3	B02
83D366	P3	B03
60D52	P3	B04
63D23	P3	B05
68M	P3	B06
69D4	P3	B07
69D61	P3	B08
72D17	P3	B09
72D123	P3	B10
79D234	P3	B11
82D361	P3	B12
58M	P3	C01
58D47	P3	C02
60D8	P3	C03
60D57	P3	C04
63D29	P3	C05
68D32	P3	C06
69D73	P3	C08
72D243	P3	C10
79D363	P3	C11
83D38	P3	C12
58D7	P3	D01
58D52	P3	D02
60D13	P3	D03
60D144	P3	D04
63D40	P3	D05
68D63	P3	D06
69D15	P3	D07
69D115	P3	D08
72D25	P3	D09
72D362	P3	D10
82M	P3	D11
83D59	P3	D12
58D63	P3	E02
60D19	P3	E03
60D256	P3	E04
63D52	P3	E05
68D90	P3	E06
69D24	P3	E07
69D242	P3	E08
72D32	P3	E09
79M	P3	E10
82D33	P3	E11
83D88	P3	E12
58D13	P3	F01
58D72	P3	F02
60D22	P3	F03
60D382	P3	F04
63D61	P3	F05
68D122	P3	F06
69D33	P3	F07
69D375	P3	F08
72D39	P3	F09
79D29	P3	F10
82D90	P3	F11
83D119	P3	F12
58D22	P3	G01
58D144	P3	G02
60D31	P3	G03
63D126	P3	G05
68D243	P3	G06
69D36	P3	G07
72M	P3	G08
72D48	P3	G09
79D62	P3	G10
82D121	P3	G11
83D239	P3	G12
58D28	P3	H01
58D256	P3	H02
60D38	P3	H03
63D9	P3	H04
63D250	P3	H05
68D368	P3	H06
69D49	P3	H07
72D6	P3	H08
72D57	P3	H09
79D88	P3	H10
NC3	P3	H12
