# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:16:16 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
63D250	63D9	7.04e-01	0.97	msp_0003,msp_0007,msp_0010,msp_0012,msp_0017,msp_0023,msp_0046,msp_0069,msp_0071,msp_0076,msp_0089,msp_0090,msp_0092,msp_0100,msp_0103,msp_0111,msp_0115c,msp_0126,msp_0142,msp_0147,msp_0193,msp_0200,msp_0208,msp_0249,msp_0340,msp_0347,msp_0356,msp_0362,msp_0478,msp_0563,msp_0621,msp_0794,msp_0881,msp_0908,msp_0946,msp_0983,msp_1046,msp_1078,msp_1279,msp_1418c,msp_1436,msp_1519,msp_1543,msp_1682c,msp_0166
63D29	63D40	6.75e-01	0.74	msp_0108,msp_0140,msp_0148c,msp_0157,msp_0174,msp_0241,msp_1554c,msp_1754,msp_1815,msp_0030,msp_0313,msp_2555,msp_2680
58M	58D7	6.25e-01	1.0	msp_0013,msp_0021,msp_0022,msp_0027,msp_0031,msp_0032,msp_0045,msp_0046,msp_0050,msp_0053,msp_0054,msp_0059,msp_0071,msp_0076,msp_0089,msp_0090,msp_0093,msp_0104,msp_0109,msp_0110,msp_0112,msp_0124,msp_0126,msp_0138,msp_0141,msp_0142,msp_0145,msp_0152,msp_0154,msp_0172,msp_0188,msp_0196,msp_0205,msp_0208,msp_0213,msp_0225,msp_0236,msp_0245,msp_0259,msp_0262,msp_0271,msp_0274,msp_0291,msp_0299,msp_0301,msp_0307,msp_0309,msp_0314,msp_0315,msp_0337,msp_0340,msp_0356,msp_0364,msp_0372,msp_0374,msp_0381,msp_0389,msp_0396,msp_0419,msp_0422,msp_0424,msp_0436,msp_0454,msp_0456,msp_0468,msp_0471,msp_0472,msp_0478,msp_0489,msp_0506,msp_0509,msp_0510,msp_0522,msp_0523,msp_0563,msp_0569,msp_0572,msp_0573,msp_0584,msp_0596,msp_0604,msp_0621,msp_0622,msp_0630,msp_0639,msp_0655,msp_0665,msp_0688,msp_0697,msp_0722,msp_0735,msp_0740,msp_0742,msp_0756,msp_0763,msp_0769,msp_0777,msp_0780,msp_0851,msp_0852,msp_0879,msp_0883,msp_0908,msp_0910,msp_0917,msp_0924,msp_0986,msp_1021,msp_1060c,msp_1094,msp_1173c,msp_1188,msp_1244,msp_1279,msp_1291,msp_1365,msp_1381,msp_1403,msp_1556,msp_1643c,msp_0166,msp_0212,msp_0295,msp_0380
58D43	58D47	5.66e-01	0.52	msp_0108,msp_0341,msp_0497,msp_0633,msp_1418c,msp_1766,msp_0030,msp_2555,msp_2680,msp_2887,msp_2888
69D15	69D24	4.77e-01	0.84	msp_0108,msp_0140,msp_0174,msp_0209,msp_0228,msp_0341,msp_0627,msp_0633,msp_0865,msp_1511c,msp_1766,msp_1815,msp_2555,msp_2680
83D88	NC3	4.13e-01	0.69	msp_0012,msp_0020,msp_0024,msp_0058,msp_0103,msp_0111,msp_0153,msp_0171,msp_0208,msp_0419,msp_0483,msp_0573,msp_0621,msp_0627,msp_1339,msp_1418c,msp_1543,msp_1697,msp_1977,msp_0166,msp_0833,msp_2671,msp_2814,msp_2887,msp_2912,msp_2931
58D256	63D9	2.45e-01	1.0	msp_0005,msp_0009,msp_0014,msp_0018,msp_0044,msp_0052,msp_0056,msp_0058,msp_0066,msp_0075,msp_0086,msp_0108,msp_0132,msp_0138,msp_0145,msp_0153,msp_0172,msp_0174,msp_0186,msp_0204,msp_0213,msp_0241,msp_0246,msp_0274,msp_0360,msp_0364,msp_0388,msp_0411,msp_0509,msp_0573,msp_0625,msp_0791,msp_0816c,msp_0852,msp_0883,msp_0910,msp_1060c,msp_1123,msp_1188,msp_1244,msp_1381,msp_1435,msp_1556,msp_1652,msp_1700,msp_1724,msp_1772c,msp_1873,msp_1946,msp_0313,msp_0486
60D38	63D9	2.38e-01	0.69	msp_0140,msp_0309,msp_0329,msp_0341,msp_0497,msp_0626,msp_0633,msp_0792,msp_1754,msp_1816,msp_0030,msp_2555,msp_2617,msp_2680,msp_2848
83D239	NC3	1.51e-01	1.0	msp_0023,msp_0052,msp_0066,msp_0108,msp_0113,msp_0148c,msp_0174,msp_0175,msp_0200,msp_0209,msp_0241,msp_0246,msp_0309,msp_0329,msp_0331,msp_0341,msp_0468,msp_0510,msp_0591,msp_0760,msp_0780,msp_0844c,msp_0865,msp_0881,msp_0898,msp_1070,msp_1173c,msp_1219,msp_1358,msp_1511c,msp_1700,msp_1782,msp_0030,msp_1785,msp_1794,msp_1801,msp_2216,msp_2555,msp_2908,msp_2943
82D361	NC3	1.17e-01	0.71	msp_0007,msp_0008,msp_0015,msp_0017,msp_0029,msp_0046,msp_0059,msp_0069,msp_0071,msp_0075,msp_0076,msp_0079,msp_0107,msp_0138,msp_0154,msp_0193,msp_0299,msp_0374,msp_0454,msp_0618,msp_0713,msp_0769,msp_1279
63D23	63D40	8.80e-02	0.52	msp_0140,msp_0157,msp_0174,msp_0241,msp_0347,msp_0633,msp_0792,msp_1554c,msp_1754,msp_0030,msp_2680
58D256	60D38	2.14e-02	1.0	msp_0023,msp_0052,msp_0069,msp_0145,msp_0147,msp_0153,msp_0172,msp_0186,msp_0204,msp_0213,msp_0246,msp_0274,msp_0331,msp_0388,msp_0510,msp_0625,msp_0767,msp_0816c,msp_0883,msp_0910,msp_1123,msp_1244,msp_1556,msp_1772c
60D144	60D13	1.67e-02	1.0	msp_0009,msp_0014,msp_0044,msp_0052,msp_0056,msp_0058,msp_0086,msp_0104,msp_0132,msp_0152,msp_0153,msp_0171,msp_0172,msp_0180,msp_0182,msp_0186,msp_0200,msp_0204,msp_0213,msp_0246,msp_0274,msp_0331,msp_0334,msp_0347,msp_0364,msp_0388,msp_0411,msp_0419,msp_0509,msp_0573,msp_0625,msp_0626,msp_0767,msp_0816c,msp_0883,msp_0884,msp_1058c,msp_1060c,msp_1279,msp_1556,msp_0166
58D256	58D28	9.15e-03	1.0	msp_0023,msp_0052,msp_0058,msp_0066,msp_0069,msp_0076,msp_0126,msp_0145,msp_0147,msp_0153,msp_0172,msp_0204,msp_0213,msp_0246,msp_0274,msp_0331,msp_0364,msp_0388,msp_0411,msp_0419,msp_0510,msp_0625,msp_0767,msp_0816c,msp_0883,msp_0910,msp_1123,msp_1244,msp_1435,msp_1556,msp_1772c,msp_0166
82D243	72D17	8.30e-03	1.0	msp_0007,msp_0008,msp_0010,msp_0011,msp_0012,msp_0046,msp_0056,msp_0058,msp_0059,msp_0069,msp_0153,msp_0172,msp_0419,msp_0573,msp_0618,msp_0770,msp_1697,msp_1772c,msp_0313
82D243	72D123	5.70e-03	1.0	msp_0007,msp_0008,msp_0010,msp_0011,msp_0012,msp_0046,msp_0058,msp_0059,msp_0069,msp_0070,msp_0110,msp_0140,msp_0148c,msp_0153,msp_0172,msp_0318,msp_0573,msp_0618,msp_0770,msp_0884,msp_0313
63D250	68D368	4.80e-03	0.96	msp_0003,msp_0012,msp_0023,msp_0046,msp_0089,msp_0092,msp_0100,msp_0111,msp_0126,msp_0142,msp_0147,msp_0204,msp_0331,msp_0388,msp_0626,msp_0910,msp_1436
79M	63D9	2.67e-03	0.59	msp_0022,msp_0027,msp_0036,msp_0040,msp_0068,msp_0128,msp_0141,msp_0236,msp_0301,msp_0307,msp_0554
82D361	82D243	1.79e-03	0.67	msp_0015,msp_0017,msp_0029,msp_0071,msp_0075,msp_0076,msp_0079,msp_0107,msp_0374
58D7	58D28	8.17e-04	0.5	msp_0022,msp_0027,msp_0031,msp_0036,msp_0046,msp_0059,msp_0090,msp_0196,msp_0271,msp_0301,msp_0389
63D250	69D49	7.84e-04	0.79	msp_0003,msp_0007,msp_0012,msp_0023,msp_0058,msp_0069,msp_0089,msp_0092,msp_0126,msp_0388,msp_1436
58M	58D28	7.49e-04	0.71	msp_0022,msp_0027,msp_0031,msp_0036,msp_0046,msp_0059,msp_0068,msp_0090,msp_0196,msp_0301,msp_0389
69M	63D23	7.27e-04	0.89	msp_0012,msp_0023,msp_0031,msp_0032,msp_0046,msp_0069,msp_0090,msp_0092,msp_0389
79M	72D362	5.28e-04	1.0	msp_0011,msp_0015,msp_0027,msp_0031,msp_0036,msp_0040,msp_0068,msp_0069,msp_0110,msp_0126,msp_0128,msp_0141,msp_0154,msp_0196,msp_0236,msp_0307,msp_0374,msp_0554,msp_0611
